Rank (Borda),Model,Total Parameters (B),Embedding Dimensions,Max Tokens,Reranking,Retrieval
232,miniac-embed,0.033,1024.0,512.0,0.0,0.0
261,bge-small-en,0.033,512.0,512.0,0.0,0.0
341,Hakim-small,0.039,512.0,512.0,0.0,0.0
337,ruri-v3-30m,0.037,256.0,8192.0,0.0,0.0
340,USER2-small,0.034,384.0,8192.0,0.0,0.0
288,e5-small-trm-nl,0.041,384.0,512.0,0.0,0.0
231,mini-gte,0.066,768.0,512.0,0.0,0.0
296,model2vecdk,0.048,256.0,0.0,0.0,0.0
336,Hakim,0.124,768.0,512.0,0.0,0.0
342,Hakim-unsup,0.124,768.0,512.0,0.0,0.0
397,text2vec-base-chinese-paraphrase,0.118,768.0,512.0,0.0,0.0
367,roberta-zwnj-wnli-mean-tokens,0.118,768.0,514.0,0.0,0.0
285,e5-base-trm-nl,0.124,768.0,514.0,0.0,0.0
357,fabert,0.124,768.0,512.0,0.0,0.0
293,dfm-sentence-encoder-medium,0.124,768.0,512.0,0.0,0.0
339,Tooka-SBERT-V2-Small,0.123,768.0,512.0,0.0,0.0
361,TookaBERT-Base,0.123,768.0,512.0,0.0,0.0
363,bert-zwnj-wnli-mean-tokens,0.118,768.0,512.0,0.0,0.0
330,ruri-v3-130m,0.132,512.0,8192.0,0.0,0.0
359,Arabic-Triplet-Matryoshka-V2,0.135,768.0,768.0,0.0,0.0
312,BERTA,0.128,768.0,512.0,0.0,0.0
399,M2V_multilingual_output,0.128,256.0,0.0,0.0,0.0
362,sentence-bert-swedish-cased,0.125,768.0,384.0,0.0,0.0
247,gte-base-en-v1.5,0.137,768.0,8192.0,0.0,0.0
384,opensearch-neural-sparse-encoding-doc-v3-gte,0.137,30522.0,8192.0,0.0,0.0
187,lodestone-base-4096-v1,0.137,768.0,0.0,0.0,0.0
343,GTE-ModernColBERT-v1,0.149,128.0,8192.0,0.0,0.0
415,LateOn-Code-pretrain,0.149,128.0,8192.0,0.0,0.0
