,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
319,320,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,2.442,2.725,2304.0,512.0,,,,,,,,,,,
320,321,[piccolo-large-zh-v2](https://huggingface.co/sensenova/piccolo-large-zh-v2),⚠️ NA,,,1024.0,512.0,,,,,,,,,,,
321,322,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,0.304,0.326,1792.0,512.0,,,,,,,,,,,
322,323,[ruri-large](https://huggingface.co/cl-nagoya/ruri-large),⚠️ NA,0.304,0.337,1024.0,512.0,,,,,,,,,,,
323,324,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100%,0.006,0.032,312.0,2048.0,,,,,,,,,,,
324,324,[ruri-v3-310m](https://huggingface.co/cl-nagoya/ruri-v3-310m),99%,0.236,0.315,768.0,8192.0,,,,,,,,,,,
325,326,[Yinka](https://huggingface.co/Classical/Yinka),⚠️ NA,0.304,0.326,1024.0,512.0,,,,,,,,,,,
326,327,[ruri-large-v2](https://huggingface.co/cl-nagoya/ruri-large-v2),⚠️ NA,0.304,0.337,1024.0,512.0,,,,,,,,,,,
327,328,[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding),⚠️ NA,0.304,0.326,1024.0,512.0,,,,,,,,,,,
328,329,[sarashina-embedding-v1-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v1-1b),100%,1.041,1.224,1792.0,8192.0,,,,,,,,,,,
329,330,[ruri-v3-130m](https://huggingface.co/cl-nagoya/ruri-v3-130m),99%,0.08,0.132,512.0,8192.0,,,,,,,,,,,
330,331,[ruri-base](https://huggingface.co/cl-nagoya/ruri-base),⚠️ NA,0.086,0.111,768.0,512.0,,,,,,,,,,,
331,332,[ruri-v3-70m](https://huggingface.co/cl-nagoya/ruri-v3-70m),99%,0.031,0.07,256.0,8192.0,,,,,,,,,,,
332,333,[ruri-base-v2](https://huggingface.co/cl-nagoya/ruri-base-v2),⚠️ NA,0.086,0.111,768.0,512.0,,,,,,,,,,,
333,334,[USER2-base](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,,0.149,768.0,8192.0,,,,,,,,,,,
334,335,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),⚠️ NA,,,768.0,514.0,,,,,,,,,,,
335,336,[Hakim](https://huggingface.co/MCINext/Hakim),100%,,0.124,768.0,512.0,,,,,,,,,,,
336,337,[ruri-v3-30m](https://huggingface.co/cl-nagoya/ruri-v3-30m),100%,0.01,0.037,256.0,8192.0,,,,,,,,,,,
337,338,[Tooka-SBERT-V2-Large](https://huggingface.co/PartAI/Tooka-SBERT-V2-Large),⚠️ NA,0.304,0.353,1024.0,512.0,,,,,,,,,,,
338,339,[Tooka-SBERT-V2-Small](https://huggingface.co/PartAI/Tooka-SBERT-V2-Small),⚠️ NA,0.086,0.123,768.0,512.0,,,,,,,,,,,
339,340,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,,0.034,384.0,8192.0,,,,,,,,,,,
340,341,[Hakim-small](https://huggingface.co/MCINext/Hakim-small),100%,,0.039,512.0,512.0,,,,,,,,,,,
341,342,[Hakim-unsup](https://huggingface.co/MCINext/Hakim-unsup),100%,,0.124,768.0,512.0,,,,,,,,,,,
342,343,[GTE-ModernColBERT-v1](https://huggingface.co/lightonai/GTE-ModernColBERT-v1),99%,0.11,0.149,128.0,8192.0,,,,,,,,,,,
343,344,[nb-bert-large](https://huggingface.co/NbAiLab/nb-bert-large),100%,0.304,0.355,1024.0,512.0,,,,,,,,,,,
344,345,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,0.011,0.023,768.0,512.0,,,,,,,,,,,
345,346,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),⚠️ NA,0.304,0.353,1024.0,512.0,,,,,,,,,,,
346,346,[nb-bert-base](https://huggingface.co/NbAiLab/nb-bert-base),100%,0.086,0.178,768.0,512.0,,,,,,,,,,,
347,348,[m3e-base](https://huggingface.co/moka-ai/m3e-base),99%,0.086,0.102,768.0,512.0,,,,,,,,,,,
348,349,[FollowIR-7B](https://huggingface.co/jhu-clsp/FollowIR-7B),100%,6.98,7.111,,,,,,,,12.15,,,,,
349,350,[QZhou-Embedding-Zh](http://huggingface.co/Kingsoft-LLM/QZhou-Embedding-Zh),100%,6.953,7.576,1792.0,8192.0,,,,,,,,,,,
350,351,[Yuan-embedding-2.0-zh](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-zh),99%,0.306,0.327,1792.0,512.0,,,,,,,,,,,
351,352,[Youtu-Embedding](https://huggingface.co/tencent/Youtu-Embedding),99%,2.41,2.673,2048.0,8192.0,,,,,,,,,,,
352,353,[m3e-large](https://huggingface.co/moka-ai/m3e-large),99%,0.304,0.326,768.0,512.0,,,,,,,,,,,
